adw-gtk-theme-git 6.4.r1.g2eb9b06-1
aircrack-ng 1.7-5
alsa-utils 1.2.14-1
alsamixergui 0.9.0rc2-7
android-sdk 26.1.1-2
android-sdk-build-tools r36.1-2
android-sdk-platform-tools 36.0.0-1
apple-fonts 7.0.3-1
aurorae 6.5.4-1
axel 2.17.14-1
baobab 49.1-1
base 3-2
base-devel 1-2
bat 0.26.1-1
bc 1.08.2-1
bibata-cursor-theme-bin 2.0.7-1
bibata-cursor-translucent 1.1.2-1
bibata-extra-cursor-theme 1.0.1-2
bibata-rainbow-cursor-theme 1.1.2-2
blueberry 1.4.8-2
bluedevil 1:6.5.4-1
blueman 2.4.6-1
bluez-utils 5.85-1
brave-bin 1:1.85.111-1
breeze 6.5.4-1
breeze-gtk 6.5.4-1
breeze-plymouth 6.5.4-1
brightnessctl 0.5.1-3
btop 1.4.5-1
cairomm 1.14.5-1
cava 0.10.6-1
cliphist 1:0.7.0-1
cmake 4.2.1-1
dart-sass 1.95.0-1
ddcutil 2.2.3-1
decibels 49.0-1
discover 6.5.4-1
docker 1:29.1.1-1
dolphin 25.08.3-1
dotnet-sdk 10.0.0.sdk100-1
dpkg 1.22.21-1
drkonqi 6.5.4-1
dunst 1.13.0-1
efibootmgr 18-3
epiphany 49.2-1
fastfetch 2.56.0-1
firefox 145.0.2-1
fish 4.2.1-1
flatpak-kcm 6.5.4-1
foot 1.25.0-1
fuse2 2.9.9-5
galaxybudsclient-bin 5.1.2-1
gammastep 2.0.11-1
gdm 49.2-1
ghostty 1.2.3-2
git 2.52.0-2
github-cli 2.83.1-1
glib2-devel 2.86.2-1
gnome-backgrounds 49.0-1
gnome-browser-connector 42.1-7
gnome-calculator 49.2-1
gnome-calendar 49.0.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.1-1
gnome-contacts 49.0-1
gnome-control-center 49.2.2-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.2-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-1
gnome-remote-desktop 49.2-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.2-1
gnome-software 49.2-1
gnome-system-monitor 49.1-1
gnome-text-editor 49.0-1
gnome-tour 49.0-1
gnome-user-docs 49.1-1
gnome-user-share 48.2-1
gnome-weather 49.0-1
gobject-introspection 1.86.0-1
goreleaser 2.13.0-1
gradience 0.4.1_patch1-2
grilo-plugins 1:0.3.18-1
grim 1.5.0-2
gtk-layer-shell 0.10.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceviewmm 1:3.91.1-1
gvfs 1.58.0-2
gvfs-afc 1.58.0-2
gvfs-dnssd 1.58.0-2
gvfs-goa 1.58.0-2
gvfs-google 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-onedrive 1.58.0-2
gvfs-smb 1.58.0-2
gvfs-wsdd 1.58.0-2
hypridle 0.1.7-6
hyprpaper 0.7.6-4
hyprpicker 0.4.5-8
intel-ucode 20251111-1
iperf3 3.20-1
jdk-openjdk 25.0.1.u8-1
jdk17-openjdk 17.0.17.u10-1
jq 1.8.1-1
kactivitymanagerd 6.5.4-1
kde-cli-tools 6.5.4-1
kde-gtk-config 6.5.4-1
kdecoration 6.5.4-1
kdeplasma-addons 6.5.4-1
kgamma 6.5.4-1
kglobalacceld 6.5.4-1
kinfocenter 6.5.4-1
kitty 0.44.0-1
kmenuedit 6.5.4-1
knighttime 6.5.4-1
kotlin 2.2.21-1
kpipewire 6.5.4-1
krdp 6.5.4-1
krfb 25.08.3-1
kscreen 6.5.4-1
kscreenlocker 6.5.4-1
ksshaskpass 6.5.4-1
ksystemstats 6.5.4-1
kwallet-pam 6.5.4-1
kwayland 6.5.4-1
kwin 6.5.4-1
kwin-x11 6.5.4-1
kwrited 6.5.4-1
layer-shell-qt 6.5.4-1
libkscreen 6.5.4-1
libksysguard 6.5.4-1
libplasma 6.5.4-1
linux 6.17.9.arch1-1
linux-firmware 20251125-2
loupe 49.1-1
lsd 1.2.0-1
malcontent 0.13.1-1
mariadb 12.1.2-1
matugen-bin 3.1.0-1
meson 1.10.0-1
metar 1.3.5-1
microsoft-edge-beta-bin 143.0.3650.66-1
microsoft-edge-dev-bin 144.0.3705.0-1
milou 6.5.4-1
mssql-tools 18.4.1.1-1
mysql-workbench 8.0.44-2
nano 8.7-1
nautilus 49.2-1
networkmanager 1.54.2-1
npm 11.6.4-1
nvidia 580.105.08-4
nvidia-container-toolkit 1.18.1-1
ocean-sound-theme 6.5.4-1
ocs-url 3.1.0-7
oh-my-zsh-git r7628.1dc87da9e-1
ollama 0.13.1-1
orca 49.5-1
oxygen 6.5.4-1
oxygen-sounds 6.5.4-1
papers 49.2-1
paru 2.1.0-1
paru-debug 2.1.0-1
pavucontrol 1:6.2-1
plasma-activities 6.5.4-1
plasma-activities-stats 6.5.4-1
plasma-browser-integration 6.5.4-1
plasma-desktop 6.5.4-1
plasma-disks 6.5.4-1
plasma-firewall 6.5.4-1
plasma-integration 6.5.4-1
plasma-meta 6.5-1
plasma-nm 6.5.4-1
plasma-pa 6.5.4-1
plasma-sdk 6.5.4-1
plasma-systemmonitor 6.5.4-1
plasma-thunderbolt 6.5.4-1
plasma-vault 6.5.4-1
plasma-welcome 6.5.4-1
plasma-workspace 6.5.4-1
plasma-workspace-wallpapers 6.5.4-1
plasma5support 6.5.4-1
playerctl 2.4.1-4
plymouth-kcm 6.5.4-1
polkit-gnome 0.105-12
polkit-kde-agent 6.5.4-1
postman-bin 11.75.1-1
power-profiles-daemon 0.30-1
powerdevil 6.5.4-1
print-manager 1:6.5.4-1
python-build 1.3.0-1
python-libsass 0.23.0-5
python-pillow 12.0.0-2
python-pip 25.3-1
python-pipx 1.8.0-1
python-pywal 3.3.0-10
python-pywalfox 2.7.4-1
python-pywayland 0.4.18-2
python-setuptools-scm 9.2.2-1
python-wheel 0.45.1-1
qqc2-breeze-style 6.5.4-1
qt5-wayland 5.15.18+kde+r55-1
qt5ct 1.9-1
qt6-multimedia-ffmpeg 6.10.1-1
qt6-svg 6.10.1-1
qt6-virtualkeyboard 6.10.1-1
quazaar 0.1.4-1
ripgrep 15.1.0-1
rofi 2.0.0-1
rsync 3.4.1-2
rygel 1:45.0-1
sddm 0.21.0-6
sddm-kcm 6.5.4-1
sddm-theme-sugar-candy-git r41.a1fae51-1
showtime 49.1-1
simple-scan 49.1-1
slurp 1.5.0-1
snapd 2.72-1
snapshot 49.1-1
sof-firmware 2025.05.1-1
spectacle 1:6.5.4-1
sqlc 1.30.0-1
starship 1.24.1-1
sushi 46.0-2
swappy 1.8.0-1
swww 0.11.2-1
systemsettings 6.5.4-1
tecla 49.0-1
tesseract 5.5.1-2
tesseract-data-eng 2:4.1.0-4
tinyxml2 11.0.0-1
ttf-gabarito-git v1.000.r8.g1f3fb39-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-material-symbols-variable-git 4.0.0.r142.gbb04090f-1
ttf-noto-sans-cjk-vf 2.004-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-space-mono-nerd 3.4.0-1
typescript 5.9.3-1
ufw 0.36.2-5
unityhub 3.15.2-1
visual-studio-code-bin 1.106.3-1
visual-studio-code-insiders-bin 1765274815-1
vlc 3.0.21-32
wacomtablet 6.5.4-1
warp-terminal v0.2025.10.29.08.12.stable_03-1
waybar 0.14.0-5
webp-pixbuf-loader 0.2.7-1
wf-recorder 0.6.0-1
wget 1.25.0-3
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
x11vnc 1:0.9.17-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.5.4-1
xdg-user-dirs-gtk 0.14-1
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.9-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yad 14.2-1
yay 12.5.3-1
ydotool 1.0.4-2
yelp 49.0-1
zen-browser-bin 1.17.12b-1
zram-generator 1.2.1-1
zsh 5.9-5
OBS Studio	com.obsproject.Studio	32.0.2	stable	flathub	system
Spotify	com.spotify.Client	1.2.74.477.g3be53afe	stable	flathub	system
Simple Wireplumber GUI	io.github.dyegoaurelio.simple-wireplumber-gui	0.2.2	stable	flathub	system
Proton Mail	me.proton.Mail	1.10.1	stable	flathub	system
Freedesktop Platform	org.freedesktop.Platform	freedesktop-sdk-24.08.28	24.08	flathub	system
Freedesktop Platform	org.freedesktop.Platform	freedesktop-sdk-25.08.5	25.08	flathub	system
Mesa	org.freedesktop.Platform.GL.default	25.2.6	24.08	flathub	system
Mesa (Extra)	org.freedesktop.Platform.GL.default	25.2.6	24.08extra	flathub	system
Mesa	org.freedesktop.Platform.GL.default	25.2.6	25.08	flathub	system
Mesa (Extra)	org.freedesktop.Platform.GL.default	25.2.6	25.08-extra	flathub	system
nvidia-580-105-08	org.freedesktop.Platform.GL.nvidia-580-105-08		1.4	flathub	system
Intel VAAPI driver	org.freedesktop.Platform.VAAPI.Intel		24.08	flathub	system
Intel VAAPI driver	org.freedesktop.Platform.VAAPI.Intel		25.08	flathub	system
Nvidia VAAPI driver	org.freedesktop.Platform.VAAPI.nvidia		25.08	flathub	system
Codecs Extra Extension	org.freedesktop.Platform.codecs-extra		25.08-extra	flathub	system
openh264	org.freedesktop.Platform.openh264	2.5.1	2.5.1	flathub	system
GNOME Application Platform version 48	org.gnome.Platform		48	flathub	system
Breeze GTK theme	org.gtk.Gtk3theme.Breeze	6.5.3	3.22	flathub	system
Adwaita theme	org.kde.KStyle.Adwaita		6.8	flathub	system
KDE Application Platform	org.kde.Platform		6.8	flathub	system
KDE Application Platform	org.kde.Platform		6.9	flathub	system
Kdenlive	org.kde.kdenlive	25.12.0	master	kdenlive-nightly	system
ONLYOFFICE Desktop Editors	org.onlyoffice.desktopeditors	9.2.0	stable	flathub	system
Name                   Version                         Rev    Tracking       Publisher            Notes
bare                   1.0                             5      latest/stable  canonical**          base
blender                5.0.0                           6810   latest/stable  blenderfoundation**  classic
core18                 20251029                        2976   latest/stable  canonical**          base
core20                 20250822                        2682   latest/stable  canonical**          base
core22                 20251009                        2163   latest/stable  canonical**          base
gnome-42-2204          0+git.837775c-sdk0+git.7b07595  226    latest/stable  canonical**          -
gtk-common-themes      0.1-81-g442e511                 1535   latest/stable  canonical**          -
pieces-for-developers  4.4.3                           99     latest/stable  pieces-dev           -
pieces-os              12.3.2                          107    latest/stable  pieces-dev           -
snapd                  2.72                            25577  latest/stable  canonical**          snapd
vlc                    3.0.20-1-g2617de71b6            3777   latest/stable  videolan**           -
